player,prop,book_line,model_prediction,edge,direction,source,prop_type,run_date,run_timestamp
Tre Jones,RA,9.5,10.064,0.5640000000000001,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Kevin Huerter,REB,3.5,4.059,0.5590000000000002,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
De'Anthony Melton,PRA,16.5,17.058,0.5579999999999998,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Royce O'Neale,PRA,18.0,18.55,0.5500000000000007,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Isaac Okoro,STL,0.5,1.046,0.546,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Donovan Clingan,STL,0.5,1.023,0.5229999999999999,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Chet Holmgren,AST,1.5,2.002,0.5019999999999998,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Caleb Love,PRA,23.5,24.001,0.5010000000000012,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
De'Aaron Fox,PR,22.5,22.998,0.4980000000000011,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Jalen Pickett,PTS,10.5,10.982,0.4819999999999993,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Keldon Johnson,STL,0.5,0.969,0.469,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
LeBron James,RA,13.5,13.961,0.4610000000000003,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Chet Holmgren,STL,0.5,0.919,0.419,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Jimmy Butler,PA,25.5,25.914,0.4140000000000015,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Bryce McGowens,REB,2.5,2.909,0.4089999999999998,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Ayo Dosunmu,AST,4.0,4.399,0.399,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
De'Aaron Fox,RA,9.0,9.387,0.3870000000000004,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Harrison Barnes,PTS,10.5,10.869,0.3689999999999998,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
CJ McCollum,STL,0.5,0.859,0.359,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Royce O'Neale,RA,8.0,8.342,0.3420000000000005,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Stephen Curry,PRA,36.5,36.841,0.3410000000000011,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Oso Ighodaro,AST,1.5,1.84,0.3400000000000001,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Ryan Rollins,REB,5.0,5.336,0.3360000000000003,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Tyler Herro,REB,5.0,5.336,0.3360000000000003,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
