game_date,player,prop,model_prediction,book_line,proj_min,edge,actual,stat_AST,stat_PA,stat_PR,stat_PRA,stat_PTS,stat_RA,stat_REB,stat_STL,stat_TO
2026-01-11,Toumani Camara,PTS,16.275,13.5,0,2.7749999999999986,11.0,False,False,False,False,True,False,False,False,False
2026-01-11,Kevin Durant,REB,7.647,5.0,0,2.647,4.0,False,False,False,False,False,False,True,False,False
2026-01-11,Donovan Clingan,PTS,14.052,11.5,0,2.5519999999999996,8.0,False,False,False,False,True,False,False,False,False
2026-01-11,Rudy Gobert,PTS,12.938,10.5,0,2.4380000000000006,2.0,False,False,False,False,True,False,False,False,False
2026-01-11,Steven Adams,PTS,9.841,7.5,0,2.3409999999999993,3.0,False,False,False,False,True,False,False,False,False
2026-01-11,Draymond Green,PTS,10.805,8.5,0,2.3049999999999997,5.0,False,False,False,False,True,False,False,False,False
2026-01-11,Stephen Curry,AST,6.677,4.5,0,2.1769999999999996,5.0,True,False,False,False,False,False,False,False,False
2026-01-11,Jordan Clarkson,PTS,9.485,7.5,0,1.9849999999999992,3.0,False,False,False,False,True,False,False,False,False
2026-01-11,Jalen Williams,PTS,20.359,18.5,0,1.8590000000000015,18.0,False,False,False,False,True,False,False,False,False
2026-01-11,Davion Mitchell,PTS,8.801,7.0,0,1.8010000000000002,13.0,False,False,False,False,True,False,False,False,False
2026-01-11,Shaedon Sharpe,PTS,22.257,20.5,0,1.7570000000000014,23.0,False,False,False,False,True,False,False,False,False
2026-01-11,Mitchell Robinson,PTS,6.119,4.5,0,1.6189999999999998,6.0,False,False,False,False,True,False,False,False,False
2026-01-11,VJ Edgecombe,REB,7.107,5.5,0,1.6070000000000002,4.0,False,False,False,False,False,False,True,False,False
2026-01-11,Chet Holmgren,REB,10.515,9.0,0,1.5150000000000006,9.0,False,False,False,False,False,False,True,False,False
2026-01-11,Harrison Barnes,PTS,11.014,9.5,0,1.5139999999999991,13.0,False,False,False,False,True,False,False,False,False
2026-01-11,Kyle Kuzma,PTS,10.965,9.5,0,1.465,11.0,False,False,False,False,True,False,False,False,False
2026-01-11,Oso Ighodaro,PTS,6.931,5.5,0,1.431,10.0,False,False,False,False,True,False,False,False,False
2026-01-11,Ja'Kobe Walter,PTS,9.892,8.5,0,1.3919999999999997,2.0,False,False,False,False,True,False,False,False,False
2026-01-11,Paolo Banchero,REB,9.773,8.5,0,1.2729999999999997,8.0,False,False,False,False,False,False,True,False,False
2026-01-11,Giannis Antetokounmpo,REB,11.697,10.5,0,1.1969999999999992,8.0,False,False,False,False,False,False,True,False,False
2026-01-11,Keldon Johnson,PTS,13.669,12.5,0,1.1690000000000005,15.0,False,False,False,False,True,False,False,False,False
2026-01-11,Julius Randle,PTS,22.649,21.5,0,1.149000000000001,15.0,False,False,False,False,True,False,False,False,False
2026-01-11,Nique Clifford,PTS,7.611,6.5,0,1.1109999999999998,8.0,False,False,False,False,True,False,False,False,False
2026-01-11,Royce O'Neale,PTS,11.604,10.5,0,1.1039999999999992,19.0,False,False,False,False,True,False,False,False,False
2026-01-11,Aaron Wiggins,REB,5.02,4.0,0,1.0199999999999996,2.0,False,False,False,False,False,False,True,False,False
2026-01-11,Jordan Poole,REB,2.512,1.5,0,1.012,0.0,False,False,False,False,False,False,True,False,False
2026-01-11,Joel Embiid,AST,4.49,3.5,0,0.9900000000000002,0.0,True,False,False,False,False,False,False,False,False
2026-01-11,Bobby Portis,PTS,12.429,11.5,0,0.9290000000000004,14.0,False,False,False,False,True,False,False,False,False
2026-01-11,Maxime Raynaud,PTS,10.35,9.5,0,0.8499999999999996,12.0,False,False,False,False,True,False,False,False,False
2026-01-11,Derik Queen,AST,5.272,4.5,0,0.7720000000000002,6.0,True,False,False,False,False,False,False,False,False
2026-01-11,Donovan Clingan,REB,12.237,11.5,0,0.7370000000000001,8.0,False,False,False,False,False,False,True,False,False
2026-01-11,Cedric Coward,PTS,13.218,12.5,0,0.718,21.0,False,False,False,False,True,False,False,False,False
2026-01-11,Zach LaVine,PTS,19.196,18.5,0,0.6960000000000015,18.0,False,False,False,False,True,False,False,False,False
2026-01-11,Justin Champagnie,PTS,9.171,8.5,0,0.6709999999999994,8.0,False,False,False,False,True,False,False,False,False
2026-01-11,Cedric Coward,REB,6.665,6.0,0,0.665,8.0,False,False,False,False,False,False,True,False,False
2026-01-11,Miles McBride,REB,3.115,2.5,0,0.6150000000000002,0.0,False,False,False,False,False,False,True,False,False
