player,prop,book_line,model_prediction,edge,direction,source,prop_type,stat,proj_min,true_projection,true_edge
Nickeil Alexander-Walker,PA,24.5,25.835,1.3350000000000009,OVER,PrizePicks,combo,PA,0.0,22.818338669704033,-1.6816613302959666
Zion Williamson,RA,10.0,8.252,-1.747999999999999,UNDER,PrizePicks,combo,RA,0.0,8.316040295539652,-1.6839597044603476
Shaedon Sharpe,PRA,33.5,27.613,-5.8870000000000005,UNDER,PrizePicks,combo,PRA,0.0,31.81595123677225,-1.68404876322775
Julian Champagnie,PTS,12.0,14.057,2.0570000000000004,OVER,PrizePicks,standard,PTS,0.0,10.30865934444128,-1.6913406555587205
Stephon Castle,PTS,15.5,15.595,0.0950000000000006,OVER,PrizePicks,standard,PTS,0.0,13.808246490552767,-1.6917535094472331
De'Aaron Fox,PRA,27.5,27.557,0.0569999999999986,OVER,PrizePicks,combo,PRA,0.0,25.803754203905257,-1.6962457960947432
Jalen Smith,REB,6.5,8.633,2.132999999999999,OVER,PrizePicks,standard,REB,0.0,4.799882917764781,-1.7001170822352192
Cason Wallace,PTS,7.5,7.712,0.2119999999999997,OVER,PrizePicks,standard,PTS,0.0,5.751535377011947,-1.7484646229880534
Jarred Vanderbilt,PTS,6.5,7.829,1.3289999999999995,OVER,PrizePicks,standard,PTS,0.0,4.746317064948683,-1.7536829350513168
Jaden McDaniels,RA,8.0,5.811,-2.189,UNDER,PrizePicks,combo,RA,0.0,6.212396085446257,-1.7876039145537428
Stephon Castle,PA,22.0,20.148,-1.8520000000000003,UNDER,PrizePicks,combo,PA,0.0,20.208760050462534,-1.7912399495374665
Dyson Daniels,PTS,13.0,15.168,2.1679999999999993,OVER,PrizePicks,standard,PTS,0.0,11.156978413267758,-1.8430215867322417
Bryce McGowens,PTS,7.5,9.637,2.1370000000000005,OVER,PrizePicks,standard,PTS,0.0,5.633265272993364,-1.8667347270066363
Victor Wembanyama,PR,31.0,33.816,2.8160000000000025,OVER,PrizePicks,combo,PR,0.0,29.121923682298757,-1.8780763177012432
Marcus Smart,PR,15.5,13.504,-1.9960000000000004,UNDER,PrizePicks,combo,PR,0.0,13.608860620629285,-1.8911393793707152
Harrison Barnes,PRA,15.5,17.058,1.5579999999999998,OVER,PrizePicks,combo,PRA,0.0,13.600727638834991,-1.8992723611650089
Ayo Dosunmu,PTS,14.5,16.616,2.1159999999999997,OVER,PrizePicks,standard,PTS,0.0,12.584544037298118,-1.9154559627018823
Keldon Johnson,PTS,13.0,11.844,-1.1560000000000006,UNDER,PrizePicks,standard,PTS,0.0,11.074234895949807,-1.9257651040501926
Mark Williams,PA,13.5,10.029,-3.471,UNDER,PrizePicks,combo,PA,0.0,11.56885308081345,-1.9311469191865491
Grayson Allen,RA,6.0,6.227,0.2270000000000003,OVER,PrizePicks,combo,RA,0.0,4.061019755667313,-1.9389802443326873
Derik Queen,PR,20.5,18.394,-2.1060000000000016,UNDER,PrizePicks,combo,PR,0.0,18.529280444485618,-1.970719555514382
Collin Gillespie,RA,8.5,7.769,-0.7309999999999999,UNDER,PrizePicks,combo,RA,0.0,6.511646563936845,-1.9883534360631554
Mark Williams,REB,9.0,6.992,-2.008,UNDER,PrizePicks,standard,REB,0.0,6.976504988348874,-2.023495011651126
Alperen Sengun,PTS,22.0,15.5,-6.5,UNDER,PrizePicks,standard,PTS,0.0,19.931966635113152,-2.0680333648868476
Naz Reid,PTS,19.0,15.168,-3.8320000000000007,UNDER,PrizePicks,standard,PTS,0.0,16.923932552869207,-2.076067447130793
Derik Queen,REB,8.0,8.832,0.8320000000000007,OVER,PrizePicks,standard,REB,0.0,5.9076232436182075,-2.0923767563817925
Jaden McDaniels,REB,5.5,3.692,-1.808,UNDER,PrizePicks,standard,REB,0.0,3.402914411159916,-2.097085588840084
Keldon Johnson,RA,6.5,7.397,0.8970000000000002,OVER,PrizePicks,combo,RA,0.0,4.395376028733916,-2.1046239712660837
Isaiah Joe,PRA,9.5,12.709,3.2089999999999996,OVER,PrizePicks,combo,PRA,0.0,7.366099956409798,-2.1339000435902022
Steven Adams,REB,8.5,7.728,-0.7720000000000002,UNDER,PrizePicks,standard,REB,0.0,6.3399155721204385,-2.1600844278795615
Norman Powell,PRA,26.0,27.195,1.1950000000000005,OVER,PrizePicks,combo,PRA,0.0,23.829835331569676,-2.170164668430324
Norman Powell,PA,23.0,24.034,1.033999999999999,OVER,PrizePicks,combo,PA,0.0,20.81548932874983,-2.1845106712501696
Onyeka Okongwu,RA,11.5,12.589,1.0890000000000004,OVER,PrizePicks,combo,RA,0.0,9.289248749668337,-2.210751250331663
Moses Moody,PTS,8.0,7.23,-0.7699999999999996,UNDER,PrizePicks,standard,PTS,0.0,5.7749768013313725,-2.2250231986686275
Zion Williamson,REB,6.0,4.447,-1.553,UNDER,PrizePicks,standard,REB,0.0,3.7695917127489844,-2.2304082872510156
Rayan Rupert,PR,8.5,7.82,-0.6799999999999997,UNDER,PrizePicks,combo,PR,0.0,6.265683304626027,-2.2343166953739733
Oso Ighodaro,PA,6.5,9.534,3.0340000000000007,OVER,PrizePicks,combo,PA,0.0,4.2170482261330084,-2.2829517738669916
Brandin Podziemski,RA,6.5,6.165,-0.3349999999999999,UNDER,PrizePicks,combo,RA,0.0,4.178962076305257,-2.3210379236947434
Alex Caruso,PRA,11.5,10.479,-1.0210000000000008,UNDER,PrizePicks,combo,PRA,0.0,9.12913480044601,-2.3708651995539896
Chet Holmgren,REB,9.0,9.792,0.7919999999999998,OVER,PrizePicks,standard,REB,0.0,6.625253829386921,-2.3747461706130792
Royce O'Neale,PA,12.5,12.421,-0.0790000000000006,UNDER,PrizePicks,combo,PA,0.0,10.10655682754394,-2.3934431724560596
Gui Santos,PRA,7.5,9.734,2.234,OVER,PrizePicks,combo,PRA,0.0,5.080340254870018,-2.419659745129982
Jimmy Butler,PA,25.5,25.914,0.4140000000000015,OVER,PrizePicks,combo,PA,0.0,23.055313728260664,-2.444686271739336
Ryan Rollins,RA,10.0,8.821,-1.1790000000000005,UNDER,PrizePicks,combo,RA,0.0,7.549359198513112,-2.4506408014868883
Draymond Green,PTS,8.5,8.781,0.2810000000000006,OVER,PrizePicks,standard,PTS,0.0,6.027133384064461,-2.472866615935539
Davion Mitchell,RA,9.0,8.972,-0.0280000000000004,UNDER,PrizePicks,combo,RA,0.0,6.4872890956013665,-2.5127109043986335
Derik Queen,RA,13.0,14.72,1.7200000000000006,OVER,PrizePicks,combo,RA,0.0,10.480466520077556,-2.519533479922444
Toumani Camara,PTS,14.5,12.49,-2.01,UNDER,PrizePicks,standard,PTS,0.0,11.980225525908146,-2.5197744740918537
Davion Mitchell,PTS,7.5,8.726,1.2260000000000009,OVER,PrizePicks,standard,PTS,0.0,4.9732924468522,-2.5267075531477996
Collin Gillespie,PRA,21.5,18.403,-3.0970000000000013,UNDER,PrizePicks,combo,PRA,0.0,18.962825688178214,-2.5371743118217864
Dylan Harper,PRA,13.5,14.696,1.1959999999999995,OVER,PrizePicks,combo,PRA,0.0,10.877449256329356,-2.6225507436706437
Caleb Love,PRA,23.5,24.001,0.5010000000000012,OVER,PrizePicks,combo,PRA,0.0,20.85691090896594,-2.64308909103406
Matas Buzelis,PTS,16.5,19.887,3.3870000000000005,OVER,PrizePicks,standard,PTS,0.0,13.794977109045776,-2.7050228909542238
Myles Turner,PA,12.0,11.205,-0.7949999999999999,UNDER,PrizePicks,combo,PA,0.0,9.237687937062852,-2.7623120629371485
Shai Gilgeous-Alexander,PTS,31.5,27.784,-3.716000000000001,UNDER,PrizePicks,standard,PTS,0.0,28.7045822897756,-2.795417710224399
Jake LaRavia,PRA,21.5,18.498,-3.001999999999999,UNDER,PrizePicks,combo,PRA,0.0,18.696409869199442,-2.8035901308005577
Jalen Williams,PRA,28.5,27.064,-1.436,UNDER,PrizePicks,combo,PRA,0.0,25.58656401156396,-2.9134359884360386
Donte DiVincenzo,PR,21.5,17.915,-3.585000000000001,UNDER,PrizePicks,combo,PR,0.0,18.55028411504324,-2.9497158849567597
Bam Adebayo,PRA,27.5,23.514,-3.9860000000000007,UNDER,PrizePicks,combo,PRA,0.0,24.479952293001602,-3.0200477069983975
Oso Ighodaro,PTS,5.0,7.694,2.694,OVER,PrizePicks,standard,PTS,0.0,1.9302227338950473,-3.0697772661049525
Donte DiVincenzo,PA,20.5,17.613,-2.8870000000000005,UNDER,PrizePicks,combo,PA,0.0,17.425867552290512,-3.074132447709488
Onyeka Okongwu,PA,20.5,17.611,-2.8889999999999993,UNDER,PrizePicks,combo,PA,0.0,17.425867552290512,-3.074132447709488
Chet Holmgren,PTS,16.5,14.501,-1.9990000000000008,UNDER,PrizePicks,standard,PTS,0.0,13.398931276938479,-3.1010687230615215
Marcus Smart,PTS,12.0,8.431,-3.569000000000001,UNDER,PrizePicks,standard,PTS,0.0,8.880036997644451,-3.119963002355549
Moses Moody,PA,9.5,8.51,-0.9900000000000002,UNDER,PrizePicks,combo,PA,0.0,6.3685582409430985,-3.1314417590569015
